Lyricist_en,Lyricist,Composer_en,Composer,Singer_en,Singer
Bandula Nanayakkare,බන්ධුල නානායක්කාර,Rohana Weerasinghe,රෝහණ වීරසිංහ,Sunil Edirisinghe,සුනිල් එදිරිසිංහ
Rathan Sri Wijesinghe,රත්න ශ්‍රී විජේසිං,Lakshman Wijeseekara,ලක්ෂ්මන් විජේසේකර,T.M.Jayarathna,ටී.එම්.ජයරත්න
Mahagama Sekara,මහගම සේකර,H.M. Jayawardane,එච්. එම්. ජයවර්ධන,Nanda Malini,නන්දාමාලිනි
Kumaradasa Saputhanthri,කුමාරදාස සපුතන්ත්‍රි,Victor Rathnayake,වික්ටර් රත්නායක,Amaradewa W.D.,අමරදේව ඩබ්ලිව් ඩී
K.D.K. Dharmawardana,කේ.ඩී.කේ ධර්මවර්ධන,Darshana Ruwan Disanayake,දර්ශන රුවන් දිසානයක,Amarasiri Peries,අමරසිරි පීරිස්
Mahinda Chandrasekara,මහින්ද චන්ද්රසේකර,Sunil Dayanada Sekara,සුනිල් දයානන්ද සේකර,"Nirosha Wirajini, Karunarathna Diwulgane","නිරෝෂා විරාජිනි, කරුණාරත්න දිවුල්ගනේ"
Premakeerthi da Alwis,ප්‍රේමකීර්ති ද අල්විස්,Sarath de Alwis,සරත් ද අල්විස්,Senaka Batagoda,සේනක බටගොඩ
Sunil Ariyarathne,සුනිල් ආරියරත්න,Stanley Peiris,"
ස්ටැන්ලි පීරිස්",Priya Suriyasena,ප්‍රියා සූරියසේන
Wasantha Kumara Kobawaka,වසන්ත කුමාර කොබවක,Clarence Wijewardena,ක්ලැරන්ස් විජේවර්ධන,H.R. Jothipala,එච්. ආර්. ජෝතිපාල
Rajee Welgama,රජී වෙල්ගම,H M Jayawardena,එච් එම් ජයවර්ධන,W.D.Amaradewa,ඩබ්ලිව්.ඩී.අමරදේව
Kularathna Ariyawansha,කුලරත්න ආරියවංස,Shelton Premarathne,ෂෙල්ටන් ප්‍රේමරත්න,Mervin Perera,මර්වින් පෙරේරා 
Sunil Dayanada Sekara,සුනිල් දයානන්ද සේකර,Sarath Dasanayake,සරත් දසනායක,Milton Mallwarachchi,මිල්ටන් මල්ලවරාච්චි
Yamuna Malini Perera,යමුනා මාලිනී පෙරේරා,M. M. Jayawardhena,ප්‍රේමසිරි කේමදාස,Victor Rathnayake,වික්ටර් රත්නායක
Rathna Sri Wijesinghe,"
රත්න ශ්‍රී විජේසිංහ",Premadasa Kemadasa,එච්.එම්. ජයවර්ධන,Victor Rathnayake;Latha Walpola,වික්ටර් රත්නායක;ලතා වල්පොල
Prema Keerthi de Alwis,ප්‍රේම කීර්ති ද අල්විස්,M.M. Jayawardene,මර්වින් පෙරේරා,Victor Rathnayake; Sujatha Aththanayake,වික්ටර් රත්නායක;සුජාතා  අත්තනායක
Voeli Nanayakkara,"
වොලි නානායක්කාර",Premasiri Kemadasa,Unkown,Deepika Priyadarshani,දීපිකා  ප්‍රියදර්ශනී
Kumaradaasa Saputhanthri,කුමාරදාස සපුතන්ත්‍රී,Mervin Perera,කළණි පෙරේරා,,
Malini Jayarathna,"
මාලිනී ජයරත්න",Unkown,ඩැනිස්ටර් පෙරේරා,,
Kularathna Ariyawansa,කුලරත්න ආරියවංශ,Kalani Perera,සේනක බටගොඩ,,
Ajantha Ranasingha,අජන්තා රණසිංහ,Danister Perera,ස්ටැන්ලි පීරිස්,,
Ven Rambukkana Siddhartha,"
රඹුක්කන සිද්ධාර්ථ හිමි",Senaka Batagoda,හින්දි තනුවක් ඇසුරින්,,
Kularathne Ariyawansha,කුලරත්න අරියවංස,From a Hindi Melody,ඩබ්ලිව්.ඩී.අමරදේව,,
Karunarathne Abeysekara,කරුණාරත්න අබේසේකර,W.D.Amaradewa,පී. එල්. ඒ. සෝමපාල,,
Kamilas Perera,කැමිලස් පෙරේරා,P. L. A. Somapala,,,
Darmasiri Gamage,ධර්මසිරි ගමගේ,,,,
Lesli Ranasinghe,ලෙසිල් රණසිංහ,,,,
Unkown,Unkown,,,,
Jayathissa Boralugoda,ජයතිස්ස බොරළුගොඩ,,,,
Samantha Herath,සමන්ත හේරත්,,,,
Dhammika Bandara,ධම්මික බණ්ඩාර,,,,
"
Bandula Nanayakkarawasam",බන්දුල නානායක්කාරවසම්,,,,
Senaka Batagoda,සේනක බටගොඩ,,,,
 Vernon Perera,වර්නන් පෙරේරා,,,,
Aloy Gunawardane,ඇලෝයි ගුණවර්ධන,,,,
Madawala S. Ratnayaka,මඩවල එස්. රත්නායක,,,,
Mahagamasekara,මහගමසේකර,,,,
Madawala S.Rathnayake,එස්‌. මහින්ද හිමි,,,,
S. Mahinda Thero,සුනිල් සරත් පෙරේරා,,,,
Sunil Sarath Perera,ඩෝල්ටන් අල්විස්,,,,
Dharmasiri Gamage,මොනිකා රුවන්පතිරණ,,,,
Dolton Alwis,චන්ද්‍රරත්න මානවසිංහ,,,,
Monica Ruwanpathirana,කේ. ඩී. කේ. ධර්මවර්ධන,,,,
Chandraratne Manawasinghe,අජන්ත රණසිංහ,,,,
Premakeerthi De Alvis,ඩබ්ලිව් එම් ටී බණ්ඩාර,,,,
K. D. K. Dharmawardana,සේන වීරසේකර,,,,
Ajantha Ranasinghe,මීගොඩ විල්සන්,,,,
W. M. T. Bandara,කේ. ඩි. කේ. ධර්මවර්ධන,,,,
Sena Weerasekara,පද්මකුමාර මෙත්තාසේන,,,,
Meegoda Wilson,මහින්ද චන්ද්‍රසේකර,,,,
Padmakumara Meththasena,,,,,
