Title_si,Title_en,Lyricist,Lyricist_en,Lyrics,Singer,Singer_en,Composer,Composer_en,Metaphor,Source,Target,Intepretation
අහසයි ඔබ මට,Ahasai Oba Mata,බන්ධුල නානායක්කාර,Bandula Nanayakkare,"අහසයි ඔබ මට නිම් හිම් නොපෙනෙන
ඉණිමං බඳිනු බැරී
පොළොවයි ඔබ මට
තරුවක් විලසට රෑකල පතිත වෙමි
අහසයි ඔබ මට නිම් හිම් නොපෙනෙන
ඉණිමං බඳිනු බැරී
පොළොවයි ඔබ මට
තරුවක් විලසට රෑකල පතිත වෙමි
ගඟේ වතුර නෑ ඉහලට ගලා ගියේ
අසිනි හඬින් නෑ කඳු බිම් සසල උනේ
ගඟ කවදා හෝ මුව දොර හමු වෙනවා
ලොව කැළඹුන දා කදුබිම් හැකිලෙනවා
අහසයි ඔබ මට නිම් හිම් නොපෙනෙන
ඉණිමං බඳිනු බැරී
පොළොවයි ඔබ මට
තරුවක් විලසට රෑකල පතිත වෙමි
අනාත සයුරට වැහි දිය දෝත ඔබයි
අගාධ අඳුරක දුල රන් සිළුව ඔබයි
ඔබ මට ලඟ බව ඉඳුරා මම දනිමී
ඔබ වට කහවනු පවුරට මහ දුරකි
අහසයි ඔබ මට නිම් හිම් නොපෙනෙන
ඉණිමං බඳිනු බැරී
පොළොවයි ඔබ මට
තරුවක් විලසට රෑකල පතිත වෙමි
අහසයි ඔබ මට නිම් හිම් නොපෙනෙන
ඉණිමං බඳිනු බැරී
පොළොවයි ඔබ මට
තරුවක් විලසට රෑකල පතිත වෙමි",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,අහසයි ඔබ;පොළොවයි ඔබ,අහස;පොළොව,ඔබ;ඔබ,ඔබ අහසක් වගේ ළං වීමට නොහැකි;මා තරුවක් වූ විට පොළොව දුරස් සේ ඔබ ළං වීමට නොහැක
මා ඉතින් යන්න යනවා,Maa Ithn Yanna Yanawa,රත්න ශ්‍රී විජේසිං,Rathan Sri Wijesinghe,"මා ඉතින් යන්න යනවා 
මට යන්න අවසරයි
මට අරන් යන්න ඇත්තේ
ඒ මතකය විතරයි

මා ඉතින් යන්න යනවා 
මට යන්න අවසරයි
මට අරන් යන්න ඇත්තේ
ඒ මතකය විතරයි

නුඹ සඳක් වෙලා පායා
මට එලිය වුනු වගයි
නුඹ සඳක් සේම බැසයයි
මටඉතිරි කළුවරයි
මගෙ මතක එපමණයි

මා ඉතින් යන්න යනවා 
මට යන්න අවසරයි
මට අරන් යන්න ඇත්තේ
ඒ මතකය විතරයි

සඳ එලිය අයිති ලොවටයි
සඳ අයිති අහසටයි
පිනි කඳුළු බින්දු විතරක්
මේ බිමට වැටෙනු ඇයි
මට උරුම එපමණයි

මා ඉතින් යන්න යනවා 
මට යන්න අවසරයි
මට අරන් යන්න ඇත්තේ
ඒ මතකය විතරයි",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,නුඹ සඳක් වෙලා පායා මට එළිය වුණු වගයි,සඳ,නුඹ,නුඹ සඳක් වගේ මගේ ලොව එළිය කරනවා
සීතල දිය පිරි සුනිල විලයි,Seethala Diya Piri Sunila Wilai,මහගම සේකර,Mahagama Sekara,"සීතල දිය පිරි සුනිල විලයි....
ඒ විල මැද ඔබ සුවඳ මලයි ....
ගිමන් නිවාලන සුළං රැලක් වී
ඔබේ සිනා මට පවන් සලයි.....

අසරණ වී මා ජීවිත කතරේ
අන්ධකාරයේ සැරිසැරුවා
ඔබේ නිහඬ නෙත ඈත සිතිජයෙන්
උදාවෙලා මට අත වැනුවා

දෑසට නොපෙනෙන ඝන නිල් අඳුරේ
ඔබේ හදින් මා දෙස බැලුවා
දෑසට නොපෙනෙන මා හද පතුලේ
සුන්දරතාවය ඔබ දුටුවා

ඔබේ කුසුම ඔබ දෝතින් අරගෙන
ආදරයෙන් මා වෙත පිදුවා
ඒ මොහොතෙම තව සිය දහසක් මල්
මා වට කර හැමතැන පිපුණා",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,"ඔබ සුවඳ මලයි;ගිමන් නිවාලන සුළං රැලක් වී
ඔබේ සිනා",සුවඳ මල;ගිමන් නිවාලන සුළං රැලක්,ඔබ;ඔබේ සිනා,මලක් විසින් විලක් සුවඳවත් කරන්නා වගේ ඔබ මගේ ජීවිතය සරසයි;සුළං රැලක් මහන්සිය නැති කරන්නාක් මෙන් ඔබේ සිනා මගේ විඩා නැති කරයි
නිම් තෙරක් නොදුටු,Nim Therak Nodutu,බන්ධුල නානායක්කාර,Bandula Nanayakkare,"නිම් තෙරක් නොදුටු මේ ලෝකයේ රුදු සපුන් නිබඳ සරනා බිමේ // ඔබේ සිනා වත මගේ නවාතැන අරුණු විහිදුවාවී ජීවිතයේ
රැල් නගා ගලන ගංගා දියේ මං වසා දමනු හැකිදෝ කෙසේ // සොයා සයුරු දිය හඹා ඇවිත් ගඟ සදා සැඟව යාවී සාගරයේ
සිල් බිඳී මුවන් කැලඹූ වනේ බිම නොලා නෙලූ ඵල මාවතේ // සදා ඔබේ ගිම් බෙදාගනිම් මම් තැවුල් සැඟව යාවී මාරුතයේ
නිම් තෙරක් නොදුටු මේ..",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,ඔබේ සිනා වත මගේ නවාතැන,මගේ නවාතැන,ඔබේ සිනාව,ඔබේ සිනාව මගේ ජීවිතයේ සැනසීමක් දෙන නවාතැනකි;
හදේ කොතැනක,Hade Kothanaka,කුමාරදාස සපුතන්ත්‍රි,Kumaradasa Saputhanthri,"හදේ කොතැනක හෝ හිඳී ඔබ
නිදා නොනිදා මෙන්
බලා අවසර සොයා කල් දැන
වෙලා හස රැහැනින්
පෙළයි මා මුදා සුව දැහැනින්
හදේ කොතැනක හෝ හිඳී ඔබ
නිදා නොනිදා මෙන්
බලා අවසර සොයා කල් දැන
වෙලා හස රැහැනින්
පෙළයි මා මුදා සුව දැහැනින්
සයුර ඉම ලත් සිතිජ රේඛාවේ
මියෙන හිරු සේ ගිලී බිම් අඳුරේ
තලා මා සිත පලා ගිය ඔබ
දවයි මා අද තනිවෙනා මොහොතින්
හදේ කොතැනක හෝ හිඳී ඔබ
නිදා නොනිදා මෙන්
බලා අවසර සොයා කල් දැන
වෙලා හස රැහැනින්
පෙළයි මා මුදා සුව දැහැනින්
උතුම් පිවිතුරු ප්රේමයේ නාමෙන්
සහස් සුවහස් පැතුම් බල මහිමෙන්
ඉනූ කඳුලද සිඳෙන්නට පෙර යදින්නම්
ඔබ මැකී යනු මතකෙන්
හදේ කොතැනක හෝ හිඳී ඔබ
නිදා නොනිදා මෙන්
බලා අවසර සොයා කල් දැන
වෙලා හස රැහැනින්
පෙළයි මා මුදා සුව දැහැනින්",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,සයුර ඉම රත් සිතිජ රේඛාවේ මියෙන හිරු සේ ගිලී ගිම් අඳුරේ තලා මා සිත පලා ගිය ඔබ දවයි මා,මියෙන හිරු,මගේ සිත,බැසයන හිරු සිතිජ රේඛාවේ ලෝකයක් අඳුරේ ගිල්වා යන්නාක් මෙන් ඔබ මා සිත වේදනාවේ දමා පැන යයි
හඬන පන නල යදින සැනසුම,Handana Pana Nala Yadina Sanasuma,කේ.ඩී.කේ ධර්මවර්ධන,K.D.K. Dharmawardana,"හඬන පන නල යදින සැනසුම
දැවී යයි හද චිතකයේ
කඳුලු බිඳුවක සිසිල පමනකි
වියලි කතරට හිමි වුනේ . .

යොවුන් සිතිවිලි විපිලිසර වී
මහළු ලොව තුල මිය ඇදේ
සයින් පීඩිත හඬන සුරගුරු
යදී සිඟමන් මාවතේ

රකුසු පියසක පිපුනු කුසුමක
මලවි හමුවන පින නැතේ
දෑස නැති විට නුහුරු මංපෙත
සරන පා යුග පටලැවේ",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,ලක්ෂ්මන් විජේසේකර,Lakshman Wijeseekara,දෑස නැති විට නුහුරු මංපෙත සරන පා යුග පටලැවේ,නුහුරු මංපෙත සරන පා යුග,දෑස නැති අයෙකුගේ ආදරය,දෑස නැතිවිට කියන්නේ සරණක් නැත්නම් ආදරයක් නොමැතිව නුහුරු ජීවන ගමන තනිව යාමට අපහසුයි
පැන මඩ කඩිති,Pana Mada Kadithi,මහින්ද චන්ද්රසේකර,Mahinda Chandrasekara,"පැන මඩ කඩිති වැව් තාවලු වැහි කාලේ
පෙන්නා මග නොමග නොවැටී යන තාලේ
සිප් කිරි පෙවූ මූසිලයින් උඩු මාලේ
අපෙ ගුරුතුමා යයි තාමත් ඉස්කෝලේ

සාමා අමර විකුණති බස් පොළේ කජු
කුමාරෝද පිටු දන් දෙති එයින් මතු
උගත මනා ශිල්පය පිල් කඩ නොපැතූ
වේවැල වටා ඉකිබිඳ දඬුවමක් පැතූ

රන්මසු පටපිළී අබරණ උරණ වෙලා
සමන්පිච්ච කැකුළිය ගෙයි මිලින වෙලා
ගුරු නිවහනේ කඳුලට උල්පතක් වෙලා
ලොකු හාමිනේ ඇත බිතු සිතුවමක් වෙලා

පැන මඩ කඩිති වැව් තාවලු ...",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,සිප් කිරි පෙවූ මූසිලයින් උඩු මාලේ අපෙ ගුරුතුමා යයි තාමත් ඉස්කෝලේ,මූසිලයින්,ගුරුතුමා,දැනුම ළමයින්ට මැනවින් පොවනා මූසිල ඇදුරු තුමා වැනි මට අපේ ගුරුතුමා
මිනිසකු පිට නැගී අසරුවෙකි,Miniseku Pita Nagi Asaruweki,ප්‍රේමකීර්ති ද අල්විස්,Premakeerthi da Alwis,"මිනිසකු පිට නැගී අසරුවෙකි
ඒ බර ගෙයි වහලට බරකි
පාන්දරින් පැරදුන ඒ මිනිහා
හැන්දෑවෙත් අසු පිටට නගී....

හෙට මම ගෙදරට සුර සැප දෙනවා
අද රෑ ලුණුමිරිසෙන් ගතවෙනවා
කාසි මල්ල සතෙකුගේ පිට යනවා
දු දරුවන් පැදුරේ නිදියනවා....

ඉරණම විසදුම සතෙකුට දෙනවා
තිරිසනෙකුට මිනිසකු පරදිනවා
දරුවන් බිරිදත් ගිනි උහුලනවා
හීනෙන් නුබ තව ගෙවල් හදනවා",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,එච්. එම්. ජයවර්ධන,H.M. Jayawardane,ඒ බර ගෙයි වහලට බරකි,ගෙයි වහල,ජීවන බර,යමෙකු සූදුවට පෙළඹීම නිසා සිදුවන ධන හානියේ ප්‍රතිඵලය නිවසේ ජීවන බරට දැනේ
දෙවැනි බුදුන් ලෙස,Dewani Budhun Lesa,සුනිල් ආරියරත්න,Sunil Ariyarathne,"දෙවැනි බුදුන් ලෙස
ලොවම උවම් කළ
ලොවක පිදුම් ලද
ලොවට උතුම් ළඳ
අම්මා.....අම්මා.....අම්මා.....

දෙසවන් සනහා මා නැළවූ ඔබ

මියුරු මියැසියේ අරුත කියා දුනි
ඒ මියැසිය අද මා ගයනා විට
මා සිපගන්නට ඔබ මා ළඟ නැත
අම්මා....අම්මා.....අම්මා.....

ඇසට හඬන්නට කඳුළැලි දුන් ඔබ

ළතැවුල් දරනා දිරිය ලබා දුනි
ඒ දිරියෙන් ලොව ජය ලබනා විට
මා සිපගන්නට ඔබ මා ළඟ නැත
අම්මා....අම්මා.....අම්මා.....

දෙවැනි බුදුන් ලෙස
ලොවම උවම් කළ
ලොවක පිදුම් ලද
ලොවට උතුම් ළඳ

අම්මා.....අම්මා.....අම්මා.....",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,දෙවැනි බුදුන් ලෙස ලොවම උවම් කල ලොවක පිදුම් ලද ලොවට උතුම් ලඳ අම්මා.,දෙවෙනි බුදුන්,අම්මා,මිනිසුන්ගේ සිත් සනසන යහ මග ගෙනයන දෙවෙනි බුදුවරයෙක් වැනි අම්මා
මිනිසා සුවඳයි මල සේ,Minisa Suwandai Malasee,කුමාරදාස සපුතන්ත්‍රි,Kumaradasa Saputhanthri,"මිනිසා සුවඳයි මල සේ
නුවණින් එළියයි හිරු සේ
පරවී වැටිලා ඒ හිරු මල මේ දෙරණේ
පොළවේ උරුමේ කියමින්
බිලිදී විහිගුම් ගුණදම්
දහසිත් මියෙනා සටතිත්
අඟලේ හිමිකම් සොයමින්
ලොව නහවා සෝ කඳුලින්
සැනහේ ජය පැන් පුරමින්
මිනිසා සුවඳයි මල සේ
නුවණින් එළියයි හිරු සේ
පරවී වැටිලා ඒ හිරු මල මේ දෙරණේ
උණු ලේ විෂ වී සිරුරේ
ඉසුරන් ගැටෙනා අතරේ
ගිති මල් පිපිලා අහසේ
ඇවිලේ ගිනි දැල් සයුරේ
සා පවසින් ඉකි බිඳිතා
සුසුමෙත් යදියත් හෙලතා
මිනිසා සුවඳයි මල සේ
නුවණින් එළියයි හිරු සේ
පරවී වැටිලා ඒ හිරු මල මේ දෙරණේ",සුනිල් එදිරිසිංහ,Sunil Edirisinghe,රෝහණ වීරසිංහ,Rohana Weerasinghe,උණු ලේ විෂ වී සිරුරේ ඉසුරන් ගැටෙනා අතරේ ගිනි මල් පිපිලා අහසේ ඇවිලේ ගිනි දැල්,අහසේ ගිනි මල්,උණු ලේ,අහසේ ගිනිමල් පිපී ඇවිලී දැවෙනවා සේ උණු ලේ විෂ වී සිරුරේ ගැටේ
